unique_funder,matched_funder,matched_funder_code,matched_object
Corporation for National and Community Service,"AmeriCorps (United States, Washington) - CNCS",41___CORPORATION_FOR_NATIONAL_AND_COMMUNITY_SERVICE_(WASHINGTON_D.C.),child/Exact
Substance Abuse and Mental Health Services Administration,"Substance Abuse and Mental Health Services Administration (United States, Rockville) - SAMHSA",41___SUBSTANCE_ABUSE_AND_MENTAL_HEALTH_SERVICES_ADMINISTRATION_(ROCKVILLE),child/Exact
Directorate for Computer and Information Science and Engineering,"Directorate for Computer & Information Science & Engineering (United States, Arlington) - NSF CISE",41___DIRECTORATE_FOR_COMPUTER_&_INFORMATION_SCIENCE_&_ENGINEERING_(ARLINGTON),child/Exact
California Institute of Technology,"California Institute of Technology (United States, Pasadena) - CIT",41___CALIFORNIA_INSTITUTE_OF_TECHNOLOGY_(PASADENA),child/Exact
Institute for Basic Science,"Institute for Basic Science (South Korea, Daejeon) - IBS",41___INSTITUTE_FOR_BASIC_SCIENCE_(DAEJEON),child/Exact
"Ministerio de Asuntos Económicos y Transformación Digital, Gobierno de España","Ministerio de Asuntos Económicos y Transformación Digital (Spain, Madrid) - MINECO",41___MINISTERIO_DE_ASUNTOS_ECONÓMICOS_Y_TRANSFORMACIÓN_DIGITAL_(MADRID),child/Exact
"Department of Biotechnology, Ministry of Science and Technology, India","Department of Biotechnology (India, New Delhi) - DBT",41___DEPARTMENT_OF_BIOTECHNOLOGY_(NEW_DELHI),child/Exact
Center for Information Technology,"Center for Information Technology (United States, Bethesda) - CIT",41___CENTER_FOR_INFORMATION_TECHNOLOGY_(BETHESDA),child/Exact
Boston University,"Boston University (United States, Boston) - BU",41___BOSTON_UNIVERSITY_(BOSTON),child/Exact
Columbia University,"Columbia University (United States, New York) - CU",41___COLUMBIA_UNIVERSITY_(NEW_YORK),child/Exact
"Ministry of Education, Culture, Sports, Science and Technology","Ministry of Education, Culture, Sports, Science and Technology (Japan, Tokyo) - MEXT","41___MINISTRY_OF_EDUCATION,_CULTURE,_SPORTS,_SCIENCE_AND_TECHNOLOGY_(TOKYO)",child/Exact
Institut sur la Nutrition et les Aliments Fonctionnels,"Université Laval (Canada, Québec)",41___UNIVERSITÉ_LAVAL_(QUÉBEC),child/Exact
Agencia Nacional de Promoción Científica y Tecnológica,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación (Argentina, Buenos Aires) - ANPCyT",41___AGENCIA_NACIONAL_DE_PROMOCIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(BUENOS_AIRES),child/Exact
Health Resources and Services Administration,"Health Resources and Services Administration (United States, Rockville) - HRSA",41___HEALTH_RESOURCES_AND_SERVICES_ADMINISTRATION_(ROCKVILLE),child/Exact
HORIZON EUROPE European Research Council,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/EdgeCase
Fondation ARC pour la Recherche sur le Cancer,"Fondation ARC pour la Recherche sur le Cancer (France, Villejuif)",41___FONDATION_ARC_POUR_LA_RECHERCHE_SUR_LE_CANCER_(VILLEJUIF),child/Exact
Multidisciplinary University Research Initiative,"United States Department of Defense (United States, Washington) - US DOD",41___UNITED_STATES_DEPARTMENT_OF_DEFENSE_(WASHINGTON_D.C.),child/EdgeCase
"Consumers, Health, Agriculture and Food Executive Agency","Consumers, Health, Agriculture and Food Executive Agency (Luxembourg, Luxembourg) - CHAFEA","41___CONSUMERS,_HEALTH,_AGRICULTURE_AND_FOOD_EXECUTIVE_AGENCY_(LUXEMBOURG)",child/Exact
Bureau of Justice Assistance,"United States Department of Justice (United States, Washington) - DOJ",41___UNITED_STATES_DEPARTMENT_OF_JUSTICE_(WASHINGTON_D.C.),child/Exact
Henry Luce Foundation,"Henry Luce Foundation (United States, New York)",41___HENRY_LUCE_FOUNDATION_(NEW_YORK),child/Exact
Office of Advanced Cyberinfrastructure,"Division of Advanced Cyberinfrastructure (United States, Arlington) - NSF ACI",41___DIVISION_OF_ADVANCED_CYBERINFRASTRUCTURE_(ARLINGTON),child/Exact
Fonds De La Recherche Scientifique - FNRS,"Fund for Scientific Research (Belgium, Brussels) - FRS FNRS",41___FUND_FOR_SCIENTIFIC_RESEARCH_(BRUSSELS),child/Exact
William T. Grant Foundation,"William Thomas Grant Foundation (United States, New York)",41___WILLIAM_THOMAS_GRANT_FOUNDATION_(NEW_YORK),child/Exact
Alphawood Foundation,"Alphawood Foundation (United States, Chicago)",41___ALPHAWOOD_FOUNDATION_(CHICAGO),child/Exact
Space Telescope Science Institute,"Space Telescope Science Institute (United States, Baltimore) - STSCI",41___SPACE_TELESCOPE_SCIENCE_INSTITUTE_(BALTIMORE),child/Exact
Fundamental Research Funds for the Central Universities,"Ministry of Education of the People's Republic of China (China, Beijing) - MOE",41___MINISTRY_OF_EDUCATION_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/EdgeCase
Templeton Religion Trust,"Templeton Religion Trust (Bahamas, Nassau) - TRT",41___TEMPLETON_RELIGION_TRUST_(NASSAU),child/Exact
Centre National de la Recherche Scientifique,"French National Centre for Scientific Research (France, Paris) - CNRS",41___FRENCH_NATIONAL_CENTRE_FOR_SCIENTIFIC_RESEARCH_(PARIS),child/Exact
"Ministry of Education and Research, Romania","Ministry of Education (Romania, Bucharest)",41___MINISTRY_OF_EDUCATION_(BUCHAREST),child/Exact
U.S. Geological Survey,"United States Geological Survey (United States, Reston) - USGS",41___UNITED_STATES_GEOLOGICAL_SURVEY_(RESTON),child/Exact
Office of the Director,"Office of the Director (United States, Arlington) - NSF OD",41___OFFICE_OF_THE_DIRECTOR_(ARLINGTON),child/Exact
"Department of Science and Technology, Ministry of Science and Technology, India","Department of Science and Technology (India, Kolkata)",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(KOLKATA),child/Exact
Sichuan Province Science and Technology Support Program,"Science and Technology Department of Sichuan Province (China, Chengdu)",41___SCIENCE_AND_TECHNOLOGY_DEPARTMENT_OF_SICHUAN_PROVINCE_(CHENGDU),child/HighestScore
National Institute of Arthritis and Musculoskeletal and Skin Diseases,"National Institute of Arthritis and Musculoskeletal and Skin Diseases (United States, Bethesda) - NIAMS",41___NATIONAL_INSTITUTE_OF_ARTHRITIS_AND_MUSCULOSKELETAL_AND_SKIN_DISEASES_(BETHESDA),child/Exact
"Ministerstvo Školství, Mládeže a Tělovýchovy","Ministry of Education Youth and Sports (Czechia, Prague) - MSMT",41___MINISTRY_OF_EDUCATION_YOUTH_AND_SPORTS_(PRAGUE),child/Exact
Solar Energy Technologies Office,"Solar Energy Technologies Office (United States, Washington) - SETO",41___SOLAR_ENERGY_TECHNOLOGIES_OFFICE_(WASHINGTON_D.C.),child/Exact
U.S. Department of Defense,"United States Department of Defense (United States, Washington) - US DOD",41___UNITED_STATES_DEPARTMENT_OF_DEFENSE_(WASHINGTON_D.C.),child/Exact
University of Pennsylvania,"University of Pennsylvania (United States, Philadelphia)",41___UNIVERSITY_OF_PENNSYLVANIA_(PHILADELPHIA),child/Exact
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,"Fiducie de Recherche sur la Forêt des Cantons-de-l’Est (Canada, Québec) - FRFCE",41___FIDUCIE_DE_RECHERCHE_SUR_LA_FORÊT_DES_CANTONS-DE-L’EST_(QUÉBEC),child/Exact
Fundação para a Ciência e a Tecnologia,"Fundação para a Ciência e Tecnologia (Portugal, Lisbon) - FCT",41___FUNDAÇÃO_PARA_A_CIÊNCIA_E_TECNOLOGIA_(LISBON),child/Exact
National Alliance for Research on Schizophrenia and Depression,"Brain & Behavior Research Foundation (United States, New York)",41___BRAIN_&_BEHAVIOR_RESEARCH_FOUNDATION_(NEW_YORK),child/Exact
National Human Genome Research Institute,"National Human Genome Research Institute (United States, Bethesda) - NHGRI",41___NATIONAL_HUMAN_GENOME_RESEARCH_INSTITUTE_(BETHESDA),child/Exact
Hungarian Scientific Research Fund,"Hungarian Scientific Research Fund (Hungary, Budapest) - OTKA",41___HUNGARIAN_SCIENTIFIC_RESEARCH_FUND_(BUDAPEST),child/Exact
Simons Foundation Autism Research Initiative,"Simons Foundation (United States, New York)",41___SIMONS_FOUNDATION_(NEW_YORK),child/Exact
Uniformed Services University of the Health Sciences,"Uniformed Services University of the Health Sciences (United States, Bethesda) - USUHS",41___UNIFORMED_SERVICES_UNIVERSITY_OF_THE_HEALTH_SCIENCES_(BETHESDA),child/Exact
Natural Science Foundation of Hunan Province,"Hunan Provincial Science and Technology Department (China, Changsha) - HSTD",41___HUNAN_PROVINCIAL_SCIENCE_AND_TECHNOLOGY_DEPARTMENT_(CHANGSHA),child/EdgeCase
Chinese Academy of Sciences,"Chinese Academy of Sciences (China, Beijing) - CAS",41___CHINESE_ACADEMY_OF_SCIENCES_(BEIJING),child/Exact
AFM-Téléthon,"French Muscular Dystrophy Association (France, Rungis) - AFM",41___FRENCH_MUSCULAR_DYSTROPHY_ASSOCIATION_(RUNGIS),child/Exact
U.S. Food and Drug Administration,"United States Food and Drug Administration (United States, Silver Spring) - FDA ",41___UNITED_STATES_FOOD_AND_DRUG_ADMINISTRATION_(SILVER_SPRING),child/Exact
Israel National Road Safety Authority,"Israel National Road Safety Authority (Israel, Jerusalem) - NRSA",41___ISRAEL_NATIONAL_ROAD_SAFETY_AUTHORITY_(JERUSALEM),child/Exact
U.S. Department of Education,"United States Department of Education (United States, Washington) - ED ",41___UNITED_STATES_DEPARTMENT_OF_EDUCATION_(WASHINGTON_D.C.),child/Exact
National Stroke Foundation,"National Stroke Foundation (Australia, Melbourne)",41___NATIONAL_STROKE_FOUNDATION_(MELBOURNE),child/Exact
Division of Industrial Innovation and Partnerships,"Division of Industrial Innovation & Partnerships (United States, Arlington) - NSF IIP",41___DIVISION_OF_INDUSTRIAL_INNOVATION_&_PARTNERSHIPS_(ARLINGTON),child/Exact
China Medical Board,"China Medical Board (United States, Cambridge) - CMB",41___CHINA_MEDICAL_BOARD_(CAMBRIDGE),child/Exact
Texas A and M University,"Texas A&M University (United States, College Station) - TAMU",41___TEXAS_A&M_UNIVERSITY_(COLLEGE_STATION),child/Exact
Grand Challenges Canada,"Grand Challenges Canada (Canada, Toronto) - GCC",41___GRAND_CHALLENGES_CANADA_(TORONTO),child/Exact
Biotechnology and Biological Sciences Research Council,"Biotechnology and Biological Sciences Research Council (United Kingdom, Swindon) - BBSRC",41___BIOTECHNOLOGY_AND_BIOLOGICAL_SCIENCES_RESEARCH_COUNCIL_(SWINDON),child/Exact
National Institute of Environmental Health Sciences,"National Institute of Environmental Health Sciences (United States, Durham) - NIEHS",41___NATIONAL_INSTITUTE_OF_ENVIRONMENTAL_HEALTH_SCIENCES_(DURHAM),child/Exact
Brown University,"Brown University (United States, Providence)",41___BROWN_UNIVERSITY_(PROVIDENCE),child/Exact
China Scholarship Council,"China Scholarship Council (China, Beijing) - CSC",41___CHINA_SCHOLARSHIP_COUNCIL_(BEIJING),child/Exact
National Research Foundation,"National Research Foundation (South Africa, Pretoria) - NRF",41___NATIONAL_RESEARCH_FOUNDATION_(PRETORIA),child/Exact
Google,"Google (United States, Mountain View)",41___GOOGLE_(UNITED_STATES)_(MOUNTAIN_VIEW),child/Exact
Research Corporation for Science Advancement,"Research Corporation for Science Advancement (United States, Tucson) - RCSA",41___RESEARCH_CORPORATION_FOR_SCIENCE_ADVANCEMENT_(TUCSON),child/Exact
Natural Science Foundation of Jiangxi Province,"Jiangxi Provincial Department of Science and Technology (China, Nanchang)",41___JIANGXI_PROVINCIAL_DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(NANCHANG),child/EdgeCase
Ono Pharma Foundation,"Ono Pharmaceutical (United States, Trenton)",41___ONO_PHARMACEUTICAL_(UNITED_STATES)_(TRENTON),child/EdgeCase
Kyoto University,"Kyoto University (Japan, Kyoto)",41___KYOTO_UNIVERSITY_(KYOTO),child/Exact
National Science Board,"National Science Board (United States, Arlington) - NSF NSB",41___NATIONAL_SCIENCE_BOARD_(ARLINGTON),child/Exact
Université de Paris,"University of Paris-Est (France, Champs-sur-Marne)",41___UNIVERSITY_OF_PARIS-EST_(CHAMPS-SUR-MARNE),child/HighestScore
Natural Science Foundation of Guangdong Province,"Guangdong Science and Technology Department (China, Guangzhou)",41___GUANGDONG_SCIENCE_AND_TECHNOLOGY_DEPARTMENT_(GUANGZHOU),child/EdgeCase
University of North Dakota,"University of North Dakota (United States, Grand Forks) - UND",41___UNIVERSITY_OF_NORTH_DAKOTA_(GRAND_FORKS),child/Exact
Riksbankens Jubileumsfond,"Stiftelsen Riksbankens Jubileumsfond (Sweden, Stockholm) - RJ",41___BANK_OF_SWEDEN_TERCENTENARY_FOUNDATION_(BORÅS),child/Exact
Natural Science Foundation of Shandong Province,"Department of Science and Technology of Shandong Province (China, Jinan)",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_OF_SHANDONG_PROVINCE_(JINAN),child/EdgeCase
Academia Sinica,"Academia Sinica (Taiwan, Taipei)",41___ACADEMIA_SINICA_(TAIPEI),child/Exact
Harvard Catalyst,"Harvard University (United States, Cambridge)",41___HARVARD_UNIVERSITY_(CAMBRIDGE),child/EdgeCase
Washington Research Foundation,"Washington Research Foundation (United States, Seattle) - WRF",41___WASHINGTON_RESEARCH_FOUNDATION_(SEATTLE),child/Exact
"Center for AIDS Research, Johns Hopkins University","Johns Hopkins University Center for AIDS Research (United States, Baltimore) - JHU CFAR",41___JOHNS_HOPKINS_UNIVERSITY_CENTER_FOR_AIDS_RESEARCH_(BALTIMORE),child/HighestScore
Searle Scholars Program,"Schuler Scholar Program (United States, Lake Forest)",41___SCHULER_SCHOLAR_PROGRAM_(LAKE_FOREST),child/HighestScore
Samuel Waxman Cancer Research Foundation,"Samuel Waxman Cancer Research Foundation (United States, New York) - SWCRF",41___SAMUEL_WAXMAN_CANCER_RESEARCH_FOUNDATION_(NEW_YORK),child/Exact
Norges Idrettshøgskole,"Norwegian School of Sport Sciences (Norway, Oslo) - NSSS",41___NORWEGIAN_SCHOOL_OF_SPORT_SCIENCES_(OSLO),child/Exact
Fondo para la Investigación Científica y Tecnológica,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación (Argentina, Buenos Aires) - ANPCyT",41___AGENCIA_NACIONAL_DE_PROMOCIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(BUENOS_AIRES),child/Exact
"Bundesministerium für Bildung, Wissenschaft und Forschung","Federal Ministry of Education, Science and Research (Austria, Vienna) - BMBWF","41___FEDERAL_MINISTRY_OF_EDUCATION,_SCIENCE_AND_RESEARCH_(VIENNA)",child/Exact
Patrick and Catherine Weldon Donaghue Medical Research Foundation,"Donaghue Foundation (United States, West Hartford)",41___DONAGHUE_FOUNDATION_(WEST_HARTFORD),child/Exact
New York Stem Cell Foundation,"New York Stem Cell Foundation (United States, New York) - NYSCF",41___NEW_YORK_STEM_CELL_FOUNDATION_(NEW_YORK),child/Exact
Calouste Gulbenkian Foundation,"Calouste Gulbenkian Foundation (Portugal, Lisbon)",41___CALOUSTE_GULBENKIAN_FOUNDATION_(LISBON),child/Exact
William and Flora Hewlett Foundation,"Hewlett Foundation (United States, Menlo Park)",41___HEWLETT_FOUNDATION_(MENLO_PARK),child/Exact
Esther A. and Joseph Klingenstein Fund,"Esther A. & Joseph Klingenstein Fund (United States, New York)",41___ESTHER_A._&_JOSEPH_KLINGENSTEIN_FUND_(NEW_YORK),child/Exact
Universiteit Gent,"Ghent University (Belgium, Ghent)",41___GHENT_UNIVERSITY_(GHENT),child/Exact
Fondation pour la Recherche Médicale,"Fondation pour la Recherche Médicale (France, Paris) - FRM",41___FONDATION_POUR_LA_RECHERCHE_MÉDICALE_(PARIS),child/Exact
"Materials Research Institute, Pennsylvania State University","Pennsylvania State University (United States, State College) - PSU",41___PENNSYLVANIA_STATE_UNIVERSITY_(STATE_COLLEGE),child/EdgeCase
Scientific Research Fund for Young and Middle-Aged Scholars of Gansu University of Traditional Chinese Medicine,"Gansu University of Traditional Chinese Medicine (China, Lanzhou)",41___GANSU_UNIVERSITY_OF_TRADITIONAL_CHINESE_MEDICINE_(LANZHOU),child/EdgeCase
"Department of Science and Technology, Republic of South Africa","Department of Science and Innovation (South Africa, Pretoria) - DST",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(PRETORIA),child/Exact
Washington University in St. Louis,"Washington University in St. Louis (United States, St Louis) - WUSTL",41___WASHINGTON_UNIVERSITY_IN_ST._LOUIS_(ST_LOUIS),child/Exact
National Foundation for Science and Technology Development,"National Foundation for Science and Technology Development (Vietnam, Hanoi) - NAFOSTED",41___NATIONAL_FOUNDATION_FOR_SCIENCE_AND_TECHNOLOGY_DEVELOPMENT_(HANOI),child/Exact
Edge Hill University,"Edge Hill University (United Kingdom, Ormskirk)",41___EDGE_HILL_UNIVERSITY_(ORMSKIRK),child/Exact
Fondazione Cariplo,"Fondazione Cariplo (Italy, Milan)",41___FONDAZIONE_CARIPLO_(MILAN),child/Exact
Directorate for Biological Sciences,"Directorate for Biological Sciences (United States, Arlington) - NSF BIO",41___DIRECTORATE_FOR_BIOLOGICAL_SCIENCES_(ARLINGTON),child/Exact
Jet Propulsion Laboratory,"Jet Propulsion Laboratory (United States, La Cañada Flintridge) - JPL",41___JET_PROPULSION_LAB_(LA_CAÑADA_FLINTRIDGE),child/Exact
Villum Fonden,"The Velux Foundations (Denmark, Søborg)",41___THE_VELUX_FOUNDATIONS_(GILLELEJE),child/Exact
Harbin Medical University Cancer Hospital,"First Affiliated Hospital of Harbin Medical University (China, Harbin)",41___FIRST_AFFILIATED_HOSPITAL_OF_HARBIN_MEDICAL_UNIVERSITY_(HARBIN),child/Exact
Beijing Normal University,"Beijing Normal University (China, Beijing) - BNU",41___BEIJING_NORMAL_UNIVERSITY_(BEIJING),child/Exact
"Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica","Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica (Peru, Lima) - CONCYTEC","41___CONSEJO_NACIONAL_DE_CIENCIA,_TECNOLOGÍA_E_INNOVACIÓN_TECNOLÓGICA_(MIRAFLORES)",child/HighestScore
Innovative Research Group Project of the National Natural Science Foundation of China,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/EdgeCase
American Federation for Aging Research,"American Federation for Aging Research (United States, New York) - AFAR",41___AMERICAN_FEDERATION_FOR_AGING_RESEARCH_(NEW_YORK),child/Exact
BioXFEL Science and Technology Center,"BioXFEL Science and Technology Center (United States, Buffalo)",41___BIOXFEL_SCIENCE_AND_TECHNOLOGY_CENTER_(BUFFALO),child/Exact
Council on Social Work Education,"Council on Social Work Education (United States, Alexandria) - CSWE",41___COUNCIL_ON_SOCIAL_WORK_EDUCATION_(ALEXANDRIA),child/Exact
Bioenergy Technologies Office,"Bioenergy Technologies Office (United States, Washington) - BETO",41___BIOENERGY_TECHNOLOGIES_OFFICE_(WASHINGTON),child/Exact
Dumbarton Oaks Research Library and Collection,"Harvard University (United States, Cambridge)",41___HARVARD_UNIVERSITY_(CAMBRIDGE),child/Exact
National Security Agency,"National Security Agency (United States, Fort George Meade) - NSA",41___NATIONAL_SECURITY_AGENCY_(FORT_GEORGE_MEADE),child/Exact
HORIZON EUROPE Marie Sklodowska-Curie Actions,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/EdgeCase
"University of California, Santa Barbara","University of California, Santa Barbara (United States, Santa Barbara) - UCSB","41___UNIVERSITY_OF_CALIFORNIA,_SANTA_BARBARA_(SANTA_BARBARA)",child/Exact
Colgate University,"Colgate University (United States, Hamilton)",41___COLGATE_UNIVERSITY_(HAMILTON),child/Exact
Research and Development,"Ministry of Science and Technology of the People's Republic of China (China, Beijing) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/Exact
Ministero dell'Università e della Ricerca,"Ministry of Education, Universities and Research (Italy, Rome) - MIUR","41___MINISTRY_OF_EDUCATION,_UNIVERSITIES_AND_RESEARCH_(ROME)",child/HighestScore
Quality Enhancement Research Initiative,"Quality Enhancement Research Initiative (United States, Washington D.C.) - QUERI",41___QUALITY_ENHANCEMENT_RESEARCH_INITIATIVE_(WASHINGTON_D.C.),child/Exact
Cancer Research UK,"Cancer Research UK (United Kingdom, London) - CRUK",41___CANCER_RESEARCH_UK_(LONDON),child/Exact
Recruitment Program of Global Experts,"Ministry of Science and Technology of the People's Republic of China (China, Beijing) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/EdgeCase
University of Washington,"University of Washington (United States, Seattle) - UW",41___UNIVERSITY_OF_WASHINGTON_(SEATTLE),child/Exact
National Natural Science Foundation of China-Yunnan Joint Fund,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/EdgeCase
National Key Research and Development Program of China Stem Cell and Translational Research,"Ministry of Science and Technology of the People's Republic of China (China, Beijing) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/EdgeCase
Iowa Science Foundation,"Iowa Academy of Science (United States, Cedar Falls) - IAS",41___IOWA_ACADEMY_OF_SCIENCE_(CEDAR_FALLS),child/EdgeCase
SystemsX.ch,"SystemsX.ch (Switzerland, Zurich)",41___SYSTEMSX.CH_(ZURICH),child/Exact
Burroughs Wellcome Fund,"Burroughs Wellcome Fund (United States, Durham) - BWF",41___BURROUGHS_WELLCOME_FUND_(DURHAM),child/Exact
DeGregorio Family Foundation,"DeGregorio Family Foundation (United States, Pleasantville) - DFF",41___DEGREGORIO_FAMILY_FOUNDATION_(PLEASANTVILLE),child/Exact
U.S. Air Force,"United States Air Force (United States, Arlington) - USAF",41___UNITED_STATES_AIR_FORCE_(ARLINGTON),child/Exact
State Key Laboratory of Software Development Environment,"State Key Laboratory of Software Development Environment (China, Beijing)",41___STATE_KEY_LABORATORY_OF_SOFTWARE_DEVELOPMENT_ENVIRONMENT_(BEIJING),child/Exact
Stephenson Cancer Center,"OU Health Stephenson Cancer Center (United States, Oklahoma City)",41___OU_HEALTH_STEPHENSON_CANCER_CENTER_(OKLAHOMA_CITY),child/HighestScore
James S. McDonnell Foundation,"James S. McDonnell Foundation (United States, St Louis) - JSMF",41___JAMES_S._MCDONNELL_FOUNDATION_(ST_LOUIS),child/Exact
Shanghai Hospital Development Center,"Shanghai Hospital Development Center (China, Shanghai)",41___SHANGHAI_HOSPITAL_DEVELOPMENT_CENTER_(SHANGHAI),child/Exact
Generalitat de Catalunya,"Government of Catalonia (Spain, Barcelona)",41___GOVERNMENT_OF_CATALONIA_(BARCELONA),child/Exact
"Division of Cancer Epidemiology and Genetics, National Cancer Institute","Division of Cancer Epidemiology and Genetics (United States, Bethesda) - DCEG",41___DIVISION_OF_CANCER_EPIDEMIOLOGY_AND_GENETICS_(BETHESDA),child/HighestScore
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd","Swedish Research Council for Health Working Life and Welfare (Sweden, Stockholm) - FORTE",41___SWEDISH_RESEARCH_COUNCIL_FOR_HEALTH_WORKING_LIFE_AND_WELFARE_(STOCKHOLM),child/Exact
U.S. National Library of Medicine,"United States National Library of Medicine (United States, Bethesda) - NLM",41___UNITED_STATES_NATIONAL_LIBRARY_OF_MEDICINE_(BETHESDA),child/Exact
"Directorate for Social, Behavioral and Economic Sciences","Directorate for Social, Behavioral & Economic Sciences (United States, Arlington) - NSF SBE","41___DIRECTORATE_FOR_SOCIAL,_BEHAVIORAL_&_ECONOMIC_SCIENCES_(ARLINGTON)",child/Exact
Svenska Forskningsrådet Formas,"Swedish Research Council for Environment Agricultural Sciences and Spatial Planning (Sweden, Stockholm) - FORMAS",41___SWEDISH_RESEARCH_COUNCIL_FOR_ENVIRONMENT_AGRICULTURAL_SCIENCES_AND_SPATIAL_PLANNING_(STOCKHOLM),child/Exact
State Key Laboratory of Chemo/Biosensing and Chemometrics,"State Key Laboratory of Chemobiosensing and Chemometrics (China, Changsha)",41___STATE_KEY_LABORATORY_OF_CHEMOBIOSENSING_AND_CHEMOMETRICS_(CHANGSHA),child/Exact
Council on grants of the President of the Russian Federation,"Council for Grants of the President of the Russian Federation (Russia, Moscow)",41___COUNCIL_FOR_GRANTS_OF_THE_PRESIDENT_OF_THE_RUSSIAN_FEDERATION_(MOSCOW),child/Exact
National Institute of Standards and Technology,"National Institute of Standards and Technology (United States, Gaithersburg) - NIST",41___NATIONAL_INSTITUTE_OF_STANDARDS_AND_TECHNOLOGY_(GAITHERSBURG),child/Exact
"Division of Electrical, Communications and Cyber Systems","Division of Electrical, Communications & Cyber Systems (United States, Arlington) - NSF ECCS","41___DIVISION_OF_ELECTRICAL,_COMMUNICATIONS_&_CYBER_SYSTEMS_(ARLINGTON)",child/Exact
Magyar Tudományos Akadémia,"Hungarian Academy of Sciences (Hungary, Budapest) - MTA",41___HUNGARIAN_ACADEMY_OF_SCIENCES_(BUDAPEST),child/Exact
Chinese Academy of Medical Sciences,"Tsinghua University (China, Beijing) - THU",41___TSINGHUA_UNIVERSITY_(BEIJING),child/Exact
American Philosophical Society,"American Philosophical Society (United States, Philadelphia) - APS",41___AMERICAN_PHILOSOPHICAL_SOCIETY_(PHILADELPHIA),child/Exact
Fonds National de la Recherche Luxembourg,"Fonds National de la Recherche (Luxembourg, Luxembourg) - FNR",41___FONDS_NATIONAL_DE_LA_RECHERCHE_(LUXEMBOURG),child/Exact
"Office of Extramural Research, National Institutes of Health","Office of Extramural Research (United States, Bethesda) - OER",41___OFFICE_OF_EXTRAMURAL_RESEARCH_(BETHESDA),child/Exact
Division of Ocean Sciences,"Division of Ocean Sciences (United States, Arlington) - NSF OCE",41___DIVISION_OF_OCEAN_SCIENCES_(ARLINGTON),child/Exact
State Key Laboratory of Organic Geochemistry,"State Key Laboratory of Organic Geochemistry (China, Guangzhou)",41___STATE_KEY_LABORATORY_OF_ORGANIC_GEOCHEMISTRY_(GUANGZHOU),child/Exact
Administration for Community Living,"Administration for Community Living (United States, Washington) - ACL",41___ADMINISTRATION_FOR_COMMUNITY_LIVING_(WASHINGTON_D.C.),child/Exact
W. M. Keck Foundation,"W. M. Keck Foundation (United States, Los Angeles)",41___W._M._KECK_FOUNDATION_(LOS_ANGELES),child/Exact
College and Graduate School of Arts and Sciences,"University of Virginia (United States, Charlottesville) - UVA",41___UNIVERSITY_OF_VIRGINIA_(CHARLOTTESVILLE),child/Exact
Consejo Nacional de Investigaciones Científicas y Técnicas,"Consejo Nacional de Investigaciones Científicas y Técnicas (Argentina, Buenos Aires) - CONICET",41___NATIONAL_SCIENTIFIC_AND_TECHNICAL_RESEARCH_COUNCIL_(BUENOS_AIRES),child/Exact
Midwestern University,"Midwestern University (United States, Downers Grove) - MWU",41___MIDWESTERN_UNIVERSITY_(DOWNERS_GROVE),child/Exact
Chinese Academy of Agricultural Sciences,"Chinese Academy of Agricultural Sciences (China, Beijing) - CAAS",41___CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCES_(BEIJING),child/Exact
Swedish Cancer Foundation,"Swedish Cancer Society (Sweden, Stockholm)",41___SWEDISH_CANCER_SOCIETY_(STOCKHOLM),child/EdgeCase
"Ministerio de Economía, Fomento y Turismo, Chile","Ministry of Economy, Development and Tourism (Chile, Santiago)","41___MINISTRY_OF_ECONOMY,_DEVELOPMENT_AND_TOURISM_(SANTIAGO)",child/Exact
